CZUL|44.7,-77.786 45.151,-78.186 45.718,-77.961 45.858,-77.853 46.112,-77.429 46.133,-77.25 46.437,-77.25 46.983,-78.178 48.094,-82.462 48.792,-85.337 49.917,-84.183 50.233,-85.208 53.467,-80.0 62.75,-80.0 65.0,-68.0 65.0,-60.0 64.0,-63.0 61.0,-63.0 58.471,-60.351 57.55,-64.0 55.356,-64.0 55.083,-65.083 54.417,-65.333 53.7,-64.917 51.417,-64.0 50.833,-62.083 50.833,-60.0 51.333,-59.5 51.633,-59.5 52.196,-58.143 51.735,-57.0 51.283,-57.0 51.0,-58.0 49.533,-61.0 49.3,-61.0 48.5,-62.0 47.848,-64.622 48.0,-65.941 48.156,-65.99 48.266,-66.117 48.339,-66.358 48.341,-66.503 48.268,-66.759 48.162,-66.886 48.013,-66.941 47.883,-66.896 47.733,-67.95 47.523,-68.025 47.428,-68.368 47.288,-68.567 47.45,-69.217 46.75,-70.0 46.417,-70.058 46.308,-70.208 45.908,-70.25 45.317,-71.0 45.283,-71.336 45.017,-71.483 45.0,-74.25 45.183,-74.567 45.143,-74.784 45.069,-74.967 44.967,-74.883 44.817,-75.75 44.667,-75.7 44.717,-75.5 44.347,-75.95 44.292,-76.133 44.233,-76.183 44.204,-76.283 44.104,-76.417 43.633,-76.792 43.632,-77.177 44.7,-77.786
CZVR|49.0,-115.5 49.0,-123.333 48.833,-123.008 48.767,-123.008 48.7,-123.267 48.458,-123.167 48.425,-123.117 48.283,-123.258 48.233,-123.55 48.5,-124.75 48.333,-128.0 48.167,-127.925 47.5,-130.5 47.583,-131.167 53.367,-137.0 54.0,-136.0 54.108,-135.45 54.108,-134.0 54.583,-132.833 54.492,-131.8 57.0,-132.083 56.0,-123.25 53.4,-119.0 50.326,-116.085 50.368,-115.872 50.362,-115.654 50.311,-115.453 50.219,-115.289 50.097,-115.184 49.962,-115.147 49.5,-115.138 49.0,-115.5
CZWG|47.083,-87.0 47.908,-88.775 48.108,-90.1 49.0,-93.5 49.0,-110.0 53.426,-110.001 53.551,-109.422 53.807,-108.937 54.029,-108.716 54.274,-108.596 54.527,-108.592 54.767,-108.692 54.767,-108.417 55.208,-107.657 64.408,-80.0 53.467,-80.0 49.917,-84.183 48.792,-85.337 47.083,-87.0
CZYZ|44.233,-76.183 44.204,-76.283 44.104,-76.417 43.633,-76.792 43.633,-78.678 43.6,-78.75 43.433,-78.75 43.198,-79.024 42.95,-79.058 42.836,-79.844 42.742,-81.221 42.871,-82.467 43.617,-82.125 45.333,-82.5 45.783,-83.5 45.783,-84.133 46.117,-84.883 46.383,-85.0 46.533,-85.0 46.75,-85.633 47.083,-87.0 48.792,-85.337 49.917,-84.183 53.467,-80.0 49.0,-79.0 48.587,-79.0 48.519,-79.273 48.388,-79.468 48.191,-79.556 48.025,-79.521 47.855,-79.341 47.756,-79.023 47.758,-78.801 47.84,-78.565 47.1,-77.533 46.947,-77.25 46.133,-77.25 45.961,-76.928 45.837,-76.267 44.233,-76.183
CZZV|47.848,-64.622 47.4,-65.01 47.141,-67.085 47.276,-67.184 47.389,-67.331 47.473,-67.516 47.52,-67.728 47.529,-67.951 47.498,-68.169 47.398,-68.427 47.288,-68.567 47.39,-69.0 48.0,-69.0 48.161,-69.329 48.889,-69.5 49.188,-68.667 51.0,-68.667 52.82,-61.918 51.504,-59.757 50.522,-58.979 49.533,-61.0 49.3,-61.0 48.5,-62.0 47.848,-64.622
DAAA|39.0,8.0 36.933,8.65 36.917,8.617 36.817,8.617 36.75,8.417 36.683,8.467 36.5,8.133 36.45,8.133 36.417,8.367 36.167,8.3 35.733,8.25 35.667,8.317 35.483,8.35 35.383,8.3 35.267,8.3 35.217,8.417 34.917,8.25 34.733,8.283 34.7,8.233 34.633,8.233 34.417,7.833 34.217,7.783 34.217,7.633 34.05,7.517 33.8,7.517 33.6,7.6 33.433,7.733 33.25,7.733 33.15,7.8 33.15,7.9 33.083,8.117 32.817,8.333 32.817,8.3 32.1,9.067 30.233,9.583 30.167,9.417 30.067,9.417 29.917,9.55 29.417,9.8 28.967,9.933 28.332,9.865 27.869,9.967 27.267,9.8 26.852,9.934 26.535,9.934 26.369,9.534 26.183,9.383 25.335,10.034 24.883,10.033 24.783,10.2 24.617,10.233 24.483,10.483 24.569,10.684 24.469,11.001 24.185,11.434 24.252,11.601 23.524,11.983 22.367,9.983 20.8,7.367 19.438,5.817 18.95,3.333 19.15,3.117 19.367,3.25 19.833,3.217 19.967,2.9 20.042,2.458 20.3,2.2 20.233,2.117 20.242,1.95 20.383,1.683 20.567,1.65 20.75,1.183 21.119,1.167 21.837,0.0 21.911,-0.013 27.333,-8.667 28.667,-8.667 31.833,-2.667 32.0,-2.967 32.083,-2.933 32.133,-2.833 32.2,-2.317 32.117,-1.25 32.15,-1.217 32.217,-1.267 32.3,-1.267 32.4,-1.217 32.517,-1.033 32.717,-1.4 32.967,-1.583 33.0,-1.5 33.05,-1.5 33.267,-1.7 33.6,-1.633 33.683,-1.75 34.1,-1.683 34.4,-1.8 34.483,-1.717 34.617,-1.867 34.75,-1.783 35.033,-2.217 35.833,-2.1 36.25,-1.5 38.333,3.75 39.0,4.667 39.0,8.0
DAAA-C|37.448,1.5 38.333,3.75 39.0,4.667 39.0,5.0 28.5,5.0 28.5,1.5 37.448,1.5
DAAA-E|39.0,5.0 39.0,8.0 36.933,8.65 36.917,8.617 36.817,8.617 36.75,8.417 36.683,8.467 36.5,8.133 36.45,8.133 36.417,8.367 36.167,8.3 35.733,8.25 35.667,8.317 35.483,8.35 35.383,8.3 35.267,8.3 35.217,8.417 34.917,8.25 34.733,8.283 34.7,8.233 34.633,8.233 34.417,7.833 34.217,7.783 34.217,7.633 34.05,7.517 33.8,7.517 33.6,7.6 33.433,7.733 33.25,7.733 33.15,7.8 33.15,7.9 33.083,8.117 32.817,8.333 32.817,8.3 32.1,9.067 30.233,9.583 30.167,9.417 30.067,9.417 29.917,9.55 29.417,9.8 28.967,9.933 28.332,9.865 27.869,9.967 27.267,9.8 26.852,9.934 26.535,9.934 26.369,9.534 26.183,9.383 25.335,10.034 24.883,10.033 24.783,10.2 24.617,10.233 24.483,10.483 24.569,10.684 24.469,11.001 24.185,11.434 24.252,11.601 23.524,11.983 20.8,7.367 19.438,5.817 18.95,3.333 19.15,3.117 19.367,3.25 19.833,3.217 19.967,3.0 28.5,3.0 28.5,5.0 39.0,5.0
DAAA-NC|39.0,5.0 39.0,4.667 38.333,3.75 37.448,1.5 35.667,1.5 35.667,5.0 39.0,5.0
DAAA-NE|39.0,5.0 39.0,8.0 36.933,8.65 36.917,8.617 36.817,8.617 36.75,8.417 36.683,8.467 36.5,8.133 36.45,8.133 36.417,8.367 36.167,8.3 35.733,8.25 35.667,8.317 35.483,8.35 35.383,8.3 35.267,8.3 35.217,8.417 34.917,8.25 34.8,8.271 34.8,5.0 39.0,5.0
